iter	MultiClass
0	1.881991778
1	1.827241278
2	1.778385169
3	1.736059037
4	1.699675703
5	1.665007168
6	1.632773976
7	1.605229042
8	1.578336642
9	1.553027305
10	1.53295131
11	1.509502014
12	1.487017659
13	1.466926739
14	1.447259217
15	1.429650598
16	1.412200396
17	1.395298116
18	1.379340768
19	1.364938637
20	1.348260548
21	1.335537682
22	1.321308545
23	1.309284554
24	1.295461666
25	1.285918715
26	1.275206887
27	1.264749052
28	1.254536449
29	1.246401064
30	1.236838039
31	1.227661788
32	1.220468858
33	1.212005687
34	1.201663128
35	1.192010737
36	1.186148509
37	1.179449408
38	1.170708746
39	1.162855052
40	1.155733012
41	1.147686905
42	1.141430282
43	1.135013005
44	1.12959271
45	1.122586751
46	1.114236406
47	1.109428872
48	1.105884138
49	1.101053496
50	1.095806992
51	1.09096558
52	1.084725768
53	1.079962867
54	1.075376117
55	1.070909177
56	1.067345885
57	1.062596124
58	1.058289304
59	1.053007182
60	1.049205099
61	1.04459448
62	1.04020651
63	1.036750102
64	1.033091966
65	1.029945526
66	1.027181695
67	1.022759177
68	1.018089782
69	1.013163917
70	1.009066395
71	1.005650666
72	1.001943542
73	0.9976976368
74	0.9949608514
75	0.9913911523
76	0.9871518602
77	0.9837095274
78	0.9801929135
79	0.9779000553
80	0.9755961625
81	0.9726571514
82	0.969507211
83	0.9662887348
84	0.9636757851
85	0.9620687185
86	0.9597458488
87	0.9573740592
88	0.9535084244
89	0.9507617949
90	0.9478928205
91	0.9449968058
92	0.9424638756
93	0.9392216003
94	0.9364728894
95	0.9340193684
96	0.9317591023
97	0.9299443941
98	0.9270572473
99	0.9246882016
100	0.9221710873
101	0.9204298902
102	0.9176721752
103	0.9156366439
104	0.9110727829
105	0.9082827738
106	0.9051319967
107	0.9024383813
108	0.8993676909
109	0.8970101562
110	0.8942402525
111	0.8924262414
112	0.8905302342
113	0.8876310883
114	0.885209683
115	0.883630696
116	0.8818506696
117	0.8800730943
118	0.8785013471
119	0.8769691535
120	0.8749734443
121	0.8726971513
122	0.8703323534
123	0.8685836355
124	0.8658885613
125	0.8643115172
126	0.8621159308
127	0.8608825606
128	0.8594266622
129	0.8575458621
130	0.8551836303
131	0.8531482028
132	0.8500749983
133	0.848896338
134	0.8472108274
135	0.8453818285
136	0.8438503242
137	0.8423187973
138	0.8403032436
139	0.8370975496
140	0.83589516
141	0.8341841808
142	0.8318471085
143	0.8303600094
144	0.8278746928
145	0.8260619967
146	0.8246415802
147	0.8231383268
148	0.8203340041
149	0.8190741841
150	0.8178737923
151	0.8163659314
152	0.8145516108
153	0.8127356128
154	0.811689443
155	0.8098915588
156	0.8089003048
157	0.8077265292
158	0.8062942648
159	0.8043431721
160	0.8020564602
161	0.8004446461
162	0.7994867595
163	0.7980691332
164	0.7967711197
165	0.7955600203
166	0.7935517519
167	0.7921300911
168	0.7894293889
169	0.7879579622
170	0.7864672695
171	0.7848324425
172	0.783229287
173	0.781353084
174	0.7796683552
175	0.7784549414
176	0.7772886441
177	0.7764574153
178	0.7751858742
179	0.7735984698
180	0.7724247147
181	0.7706403986
182	0.7692770495
183	0.7682361013
184	0.7669129709
185	0.7653023021
186	0.7642362871
187	0.7623087206
188	0.7609520389
189	0.7590926559
190	0.7571210115
191	0.7564561724
192	0.7550043936
193	0.7535731326
194	0.7523993686
195	0.7514875008
196	0.7504612755
197	0.7489231076
198	0.7473456733
199	0.7466089829
200	0.7456486645
201	0.7435273124
202	0.7425510583
203	0.7409691227
204	0.7397028318
205	0.7384241754
206	0.7366989011
207	0.7351556448
208	0.7343756859
209	0.7333699198
210	0.7322939498
211	0.7311722176
212	0.7304280221
213	0.728927676
214	0.728244282
215	0.726895397
216	0.7261629854
217	0.7253471
218	0.7246817347
219	0.7239015296
220	0.7222358998
221	0.7214920254
222	0.7207851898
223	0.7198455345
224	0.7188354368
225	0.7179219364
226	0.7166170156
227	0.7159416405
228	0.7144029704
229	0.7133411738
230	0.7115805676
231	0.7108579158
232	0.709848252
233	0.7089829541
234	0.7084528013
235	0.7074459737
236	0.7065528056
237	0.70542805
238	0.7039522881
239	0.7027158865
240	0.7013482738
241	0.7005846802
242	0.6993300198
243	0.6975056064
244	0.6968138894
245	0.6956478987
246	0.6945178025
247	0.693977388
248	0.6930282311
249	0.6919658152
250	0.6904826483
251	0.6891683467
252	0.6882622415
253	0.6874130167
254	0.6865717302
255	0.6857602004
256	0.6851121847
257	0.6844613462
258	0.6837257559
259	0.6829947667
260	0.6820171795
261	0.681674869
262	0.6805004702
263	0.6793726821
264	0.6786489625
265	0.6775346656
266	0.6766378984
267	0.6754993786
268	0.6748390658
269	0.6737850855
270	0.672578246
271	0.6715280773
272	0.6704691262
273	0.6697993392
274	0.6686109684
275	0.6681085207
276	0.6672461668
277	0.6664219025
278	0.6654174886
279	0.6647320211
280	0.6642225283
281	0.6632552361
282	0.6621089683
283	0.6614385451
284	0.6604925467
285	0.6597885558
286	0.6590192284
287	0.6583082785
288	0.656809992
289	0.6559640309
290	0.6550852052
291	0.6540782248
292	0.6533638853
293	0.6524262743
294	0.6518614217
295	0.6513769374
296	0.6502619211
297	0.6493898684
298	0.648882644
299	0.6483661394
